,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,,,,,,2.0,0.0,,,,,,,,,,,,
1,,,,,,1.0,0.0,,,,,,,,,,,,
2,,,,,,7.0,2.0,,,,,,,,,,,,
3,,,,,,2.0,3.0,,,,,,,,,,,,
4,,,,,,0.0,1.0,,,,,,,,,,,,
5,,,,,,2.0,1.0,,,,,,,,,,,,
6,,,,,,3.0,0.0,,,,,,,,,,,,
7,6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,
8,6.333333333333333,0.0,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,
9,,,,,,4.0,0.0,,,,,,,,,,,,
10,,,,,,0.0,1.0,,,,,,,,,,,,
11,,,,,,1.0,0.0,,,,,,,,,,,,
12,,,,,,1.0,0.0,,,,,,,,,,,,
13,,,,,,1.0,0.0,,,,,,,,,,,,
14,,,,,,5.0,0.0,,,,,,,,,,,,
15,,,,,,1.0,0.0,,,,,,,,,,,,
16,,,,,,3.0,0.0,,,,,,,,,,,,
17,,,,,,7.0,1.0,,,,,,,,,,,,
18,,,,,,4.0,0.0,,,,,,,,,,,,
19,,,,,,3.0,1.0,,,,,,,,,,,,
20,,,,,,0.0,1.0,,,,,,,,,,,,
21,,,,,,0.0,3.0,,,,,,,,,,,,
22,,,,,,0.0,1.0,,,,,,,,,,,,
23,,,,,,1.0,2.0,,,,,,,,,,,,
24,,,,,,1.0,0.0,,,,,,,,,,,,
25,,,,0.08154761904761905,7.730150190481374,1.0,0.0,5.517368555558716,7.681665984287639,5.860375882877425,,,,2.428777118231805,6.694229082298587,,3.810499563223758,3.0480400531773357,
26,6.2,0.2,0.2,0.13405010398938863,9.796954516415038,6.0,0.0,8.05172900329956,8.745266969166172,6.915183620410593,3.9028611636357597,,5.1486914345921955,5.479600884766319,8.413719782939962,6.819410285848952,,6.394850829287361,
27,6.4,0.6,0.2,0.23688021923995814,8.722931913541702,3.0,1.0,6.595000154915568,8.509749153186187,4.536077309500807,3.0481349523470396,,,4.586425598770052,6.085938013328741,3.6191273659234775,,4.767467590951118,
28,6.8,0.2,0.8,0.14274111580506366,8.8208222325753,0.0,0.0,7.159483177328069,8.563565005160681,4.5469688755793385,3.7705285631413394,,,4.288031839371916,6.803326551297254,,,3.404059947275632,3.413981976021575
29,6.0,0.8,0.0,0.07896105611559796,9.618957241432208,10.0,0.0,6.7649882257810825,9.134606509548155,6.884456968900093,3.5294733218907224,,1.1019400787607843,4.198073747984577,8.078262091934644,6.039790317749143,,5.185887477202903,
30,6.75,0.5,0.5,0.09837411239050677,9.974661277522129,0.0,1.0,6.939997855318887,9.237639438470987,4.222532537519297,3.762455141772255,,,5.186374121075899,7.559804906225656,,5.4605340003590745,5.4066918356815625,
31,6.6,-0.2,0.6,0.10130832167007592,9.70648684223208,0.0,0.0,7.062617419946603,9.103729408167169,6.813970834651267,3.957588929698953,,,4.579831864972898,8.432083786348917,,,3.5075074463555698,
32,7.0,0.2,0.8,0.15951064096909748,9.766644969645613,2.0,1.0,7.114222144151286,8.84455433349838,6.460434830135369,3.7428703566825403,,5.206481643821122,4.06957361323018,6.8409539329195725,3.8568062347902154,,5.187547803891547,
33,6.4,-0.6,0.6,0.09569802163712014,8.50177270442217,5.0,0.0,9.216580362676043,6.764846340003509,6.913143735141033,4.490499801004487,5.451192948068578,,5.420318161605406,6.239770844384988,7.032632204509254,,5.709489491942494,
34,8.0,0.2,1.0,0.06820281010186964,9.026732628367343,4.0,1.0,7.576932460803422,7.908641538697564,7.394756747939105,,,,5.133407345373518,6.158858573984246,3.9595743072863683,,6.397990758713321,
35,7.5,-0.5,0.75,0.049092970521542,8.416978082296298,0.0,0.0,6.0267472279189125,7.168968881692233,7.336726605135986,,,,4.3041056329229646,5.122087219390399,,4.196856023175178,3.6453454520902078,
36,7.4,0.0,0.6,0.07050548088338955,9.378971474061442,6.0,0.0,7.9934190968638195,8.581601141529783,7.472455263316711,3.7197723175563064,3.9352706721478365,,5.5930520110459785,7.2083449389533865,5.211565955764264,3.377246160839642,5.348558857984746,
37,6.0,0.2,0.0,0.118443242712736,9.7511464179465,1.0,0.0,7.233828634166408,8.715310338437824,6.937932336666334,6.305957718280248,5.45848277869528,4.525997100083913,4.797359561980396,8.525174654627849,7.386855533193688,,6.249272292545513,
38,6.5,0.0,0.75,0.10191661063822348,9.969205580902626,4.0,0.0,8.192667035388425,8.842193591710219,7.2029411275548245,5.512529148099565,,4.505139883913015,6.294418779179565,8.139963291538802,,,5.832969862405558,
39,6.4,-1.2,0.0,0.04923847270844108,9.971231945032576,4.0,0.0,7.7499533001245755,9.577624578139966,7.165208272106869,4.333807557403279,,,5.365517966208276,8.056503175510604,2.948745482329654,,5.208239474421368,
40,6.2,0.2,0.4,0.12668931120732582,9.423789968371185,2.0,1.0,7.579591485262318,8.609157416114419,7.342926104105685,,,,5.175024806296144,7.643098070219554,5.064119187369095,,4.857421952607904,
41,6.8,-0.4,0.6,0.1190023022034455,8.113855119560009,0.0,0.0,9.62636222768977,7.541900052473516,4.335576854667647,,,,4.3960897834134425,5.894975672916278,5.236149366836427,,4.778753676838761,
42,6.5,-0.75,0.5,0.06440779944246815,8.918291713152438,4.0,0.0,8.422588402765065,8.11842848539373,5.2322523475719205,,4.73975352512282,,4.780131388375754,5.772873119140995,,,3.834039842103062,
43,6.5,-0.5,0.25,0.050670621174317886,9.19485925546665,1.0,0.0,6.832360171132247,8.903137672462417,6.1028292514949944,3.8314201408960464,,2.8394877364701547,5.137843403503861,7.296696618457116,4.098452778599955,,5.326958271922961,
44,6.6,-0.4,-0.2,0.07532705826134849,9.62252498700484,1.0,0.0,6.794238255940696,9.156681439566887,8.150894660380638,2.9513100560012444,,,5.344790562905106,7.884245507025506,,,3.5874832922335655,
45,7.4,-0.8,1.0,0.12038411453232876,9.514753373664897,4.0,0.0,7.401607872364016,8.72860029932751,6.846698688880835,,,,5.848327164338224,7.946741405540314,,,6.358464256740902,
46,7.4,-0.4,0.8,0.07896310519489107,9.137350128697406,7.0,0.0,6.572778922973433,8.49318959639873,7.52773642823814,,0.05732506661926935,3.143936738203707,4.681380945733515,7.068782546505154,,,5.934065810275129,
47,7.0,-1.2,0.8,0.07998620207306052,9.261684035113689,0.0,0.0,8.122380444907703,8.112705205768396,7.5888997139259295,4.544283654876411,,,3.940649334216469,6.391593778043284,3.533219302273473,,5.368999477133567,
48,7.25,-0.75,0.75,0.07224906147031816,9.371677368348465,0.0,0.0,5.711902749138968,8.79407965036411,7.690049138484308,,,,4.369865486764664,5.5775841293984705,1.6156187715091814,,5.864744192328746,
