id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-17,,,,,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-02-22,6.25,-0.25,0.75,,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-04,,,,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-09,,,,,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-14,,,,,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2014-03-19,6.466666666666667,0.3333333333333333,0.4,0.1638829977636868,33170.84400129317,11.0,1.0,5405.872,18649.356,1545.982,114.023,0.0,172.20600000000002,422.062,6656.702,952.75,45.173,767.535,30.386
AS14.01,2014-03-24,6.541666666666667,0.125,0.5,0.10587652868507935,75312.14599895476,17.0,2.0,14359.143,36339.478,3600.3979999999997,260.876,233.036,185.461,627.358,11183.278,1600.1280000000002,235.223,915.736,0.0
AS14.01,2014-03-29,7.086956521739131,0.0,0.6086956521739131,0.08459033683064397,63215.08700299263,15.0,1.0,10328.266,22367.516,7296.039,836.858,285.91700000000003,182.869,1174.882,10460.087,1850.437,95.767,1708.245,0.0
AS14.01,2014-04-03,6.478260869565218,-0.5217391304347826,0.34782608695652173,0.08200170134719968,54435.38000035286,11.0,1.0,24914.522,32515.877,3549.562,122.362,114.406,17.107,761.304,7400.524,425.515,0.0,682.48,0.0
AS14.01,2014-04-08,7.125,-0.7083333333333334,0.625,0.08538190830638939,60233.175003290184,12.0,0.0,6918.138,30467.715,10428.762,113.224,1.059,23.195,794.572,7517.427,39.265,0.0,1558.229,0.0
AS14.01,2014-04-13,7.090909090909091,-0.2727272727272727,0.6818181818181818,0.07220979780083985,61117.3769965172,11.0,3.0,4481.166,30835.665,8028.445,184.779,0.0,0.0,444.267,11404.695,37.467,0.0,1539.112,0.0
AS14.01,2014-04-18,7.375,-0.25,0.9166666666666666,0.09259854026064035,54450.75599908828,8.0,2.0,9359.36,26419.901,3147.017,297.117,29.084,0.0,234.682,6479.856,261.042,0.0,1149.608,0.0
AS14.01,2014-04-23,7.5,-0.17391304347826086,0.9565217391304348,0.09009446029133043,71778.34099864961,7.0,5.0,5570.559,30899.104,7099.011,276.326,0.0,0.0,1246.067,7838.675,585.273,3.148,1687.216,0.0
AS14.01,2014-04-28,7.6,-0.36,0.92,0.07757826351061665,58462.1979970932,10.0,4.0,10118.426,28199.963,4439.5869999999995,3231.127,333.305,28.098,375.712,8614.792,314.78000000000003,0.0,1183.576,0.0
AS14.01,2014-05-03,8.0,-0.3333333333333333,1.0,0.08335853148884136,15863.965000152588,0.0,1.0,2950.042,8748.252,4008.87,296.313,0.0,0.0,76.094,725.3829999999999,143.631,30.102,389.93600000000004,0.0
AS14.02,2014-02-17,,,,,0.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-22,,,,,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-02-27,,,,,0.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-04,,,,,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-09,,,,,0.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.02,2014-03-14,7.25,0.4166666666666667,0.5,0.20787432667041228,26489.287003755566,36.0,2.0,8894.664999999999,14826.76,3200.6650000000004,0.0,0.0,0.0,823.614,525.614,125.7,0.0,0.0,0.0
